"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250513,2025-05-13,092741,CME ,00,092 ,   73088,   42769,   12810,       0,    8566,   33576,     711,    5456,    9861,      26,    1000,    1614,       0,   58528,   58598,   14560,   14490,    2510,   -2245,     402,       0,    1336,    1083,     111,    1470,     154,     -88,       0,    -150,       0,     584,    1512,    1926,     998,  100.0,   58.5,   17.5,    0.0,   11.7,   45.9,    1.0,    7.5,   13.5,    0.0,    1.4,    2.2,    0.0,   80.1,   80.2,   19.9,   19.8,     45,      7,      6,      0,.,     12,.,      8,      6,.,.,.,      0,     21,     28,    55.4,    37.9,    69.6,    55.4,    55.4,    36.9,    69.6,    54.4,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250506,2025-05-06,092741,CME ,00,092 ,   70578,   45014,   12408,       0,    7230,   32493,     600,    3986,    9707,     114,    1000,    1764,       0,   57944,   57086,   12634,   13492,   -1371,      78,    -408,       0,   -1774,     995,    -185,     349,   -1812,      89,       0,     -30,       0,   -1443,   -1351,      72,     -20,  100.0,   63.8,   17.6,    0.0,   10.2,   46.0,    0.9,    5.6,   13.8,    0.2,    1.4,    2.5,    0.0,   82.1,   80.9,   17.9,   19.1,     46,      8,      6,      0,.,     12,.,      6,      8,.,.,.,      0,     19,     30,    57.0,    38.0,    71.5,    55.1,    57.0,    37.5,    71.5,    54.3,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250429,2025-04-29,092741,CME ,00,092 ,   71949,   44936,   12816,       0,    9004,   31498,     785,    3637,   11519,      25,    1000,    1794,       0,   59387,   58437,   12562,   13512,    -942,    -236,    2583,       0,    -842,   -2067,     164,     606,    -610,       2,       0,     -60,       0,    -306,      12,    -636,    -954,  100.0,   62.5,   17.8,    0.0,   12.5,   43.8,    1.1,    5.1,   16.0,    0.0,    1.4,    2.5,    0.0,   82.5,   81.2,   17.5,   18.8,     50,      8,      7,      0,.,     13,.,      6,      9,.,.,.,      0,     22,     33,    58.4,    36.3,    72.3,    55.4,    58.4,    36.1,    72.3,    54.5,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250422,2025-04-22,092741,CME ,00,092 ,   72891,   45172,   10233,       0,    9846,   33565,     621,    3031,   12129,      23,    1000,    1854,       0,   59693,   58425,   13198,   14466,    -588,   -1203,    4956,       0,    -626,    -737,     103,     365,   -4413,      -6,       0,     618,       0,   -1367,     521,     779,   -1109,  100.0,   62.0,   14.0,    0.0,   13.5,   46.0,    0.9,    4.2,   16.6,    0.0,    1.4,    2.5,    0.0,   81.9,   80.2,   18.1,   19.8,     51,      8,      6,      0,.,     13,.,      4,     13,.,.,.,      0,     20,     36,    59.0,    36.4,    72.8,    51.4,    59.0,    35.8,    72.8,    50.7,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250415,2025-04-15,092741,CME ,00,092 ,   73479,   46375,    5277,       0,   10472,   34302,     518,    2666,   16542,      29,    1000,    1236,       0,   61060,   57904,   12419,   15575,   -2954,   -7537,     580,       0,    1513,   -1616,     337,     878,     547,     -64,     486,     196,    -327,   -4714,    -347,    1760,   -2607,  100.0,   63.1,    7.2,    0.0,   14.3,   46.7,    0.7,    3.6,   22.5,    0.0,    1.4,    1.7,    0.0,   83.1,   78.8,   16.9,   21.2,     51,      9,      5,      0,.,     13,.,      4,     14,.,.,.,      0,     21,     35,    59.7,    37.7,    73.7,    49.9,    59.7,    37.2,    73.7,    49.4,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250408,2025-04-08,092741,CME ,00,092 ,   76433,   53912,    4697,       0,    8959,   35918,     181,    1788,   15995,      93,     514,    1040,     327,   65774,   58251,   10659,   18182,  -12815,  -13712,    3914,       0,     282,   -9193,     -16,    -785,   -9480,      93,     514,     540,     327,  -13297,  -13815,     482,    1000,  100.0,   70.5,    6.1,    0.0,   11.7,   47.0,    0.2,    2.3,   20.9,    0.1,    0.7,    1.4,    0.4,   86.1,   76.2,   13.9,   23.8,     51,      9,      4,      0,.,     15,.,      4,     13,.,.,.,.,     21,     35,    62.1,    33.5,    77.6,    46.9,    62.1,    33.5,    77.6,    46.9,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250401,2025-04-01,092741,CME ,00,092 ,   89248,   67624,     783,       0,    8677,   45111,     197,    2573,   25475,       0,       0,     500,       0,   79071,   72066,   10177,   17182,    3517,    4345,      24,      -1,     165,    4739,      -3,    -599,    1153,     -48,       0,    -501,       0,    3859,    5363,    -342,   -1846,  100.0,   75.8,    0.9,    0.0,    9.7,   50.5,    0.2,    2.9,   28.5,    0.0,    0.0,    0.6,    0.0,   88.6,   80.7,   11.4,   19.3,     56,     10,.,      0,.,     20,      4,      5,     15,      0,      0,.,      0,     22,     38,    62.6,    32.8,    78.8,    50.6,    62.6,    32.8,    78.8,    50.5,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250325,2025-03-25,092741,CME ,00,092 ,   85731,   63279,     759,       1,    8512,   40372,     200,    3172,   24322,      48,       0,    1001,       0,   75212,   66703,   10519,   19028,    5674,    6650,     164,      -1,    -358,    1547,       9,    -529,    3692,      -1,       0,     501,       0,    5770,    5911,     -96,    -237,  100.0,   73.8,    0.9,    0.0,    9.9,   47.1,    0.2,    3.7,   28.4,    0.1,    0.0,    1.2,    0.0,   87.7,   77.8,   12.3,   22.2,     58,     11,.,.,.,     20,      4,      6,     14,.,      0,.,      0,     25,     39,    60.8,    31.8,    76.9,    47.8,    60.8,    31.8,    76.9,    47.7,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,092741,CME ,00,092 ,   80057,   56629,     595,       2,    8870,   38825,     191,    3701,   20630,      49,       0,     500,       0,   69442,   60792,   10615,   19265,  -20436,   -6050,   -3525,   -8913,     307,   -3042,     140,    -169,      19,   -3019,       0,   -2730,    -115,  -17819,  -21185,   -2617,     749,  100.0,   70.7,    0.7,    0.0,   11.1,   48.5,    0.2,    4.6,   25.8,    0.1,    0.0,    0.6,    0.0,   86.7,   75.9,   13.3,   24.1,     55,     10,.,.,.,     19,.,      7,     13,.,      0,.,      0,     25,     36,    61.7,    31.1,    75.1,    46.8,    61.7,    31.0,    75.1,    46.7,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,092741,CME ,00,092 ,  100493,   62679,    4120,    8915,    8563,   41867,      51,    3870,   20611,    3068,       0,    3230,     115,   87261,   81977,   13232,   18516,    3472,   -5256,     285,    8496,   -2368,   -4876,      38,    -618,    1027,    2197,    -400,     -66,     115,    2204,    7216,    1268,   -3744,  100.0,   62.4,    4.1,    8.9,    8.5,   41.7,    0.1,    3.9,   20.5,    3.1,    0.0,    3.2,    0.1,   86.8,   81.6,   13.2,   18.4,     61,     12,.,.,.,     20,.,      6,     17,      7,      0,.,.,     31,     44,    50.7,    27.6,    66.5,    42.7,    46.9,    24.4,    61.6,    37.0,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,092741,CME ,00,092 ,   97021,   67935,    3835,     419,   10931,   46743,      13,    4488,   19584,     871,     400,    3296,       0,   85057,   74761,   11964,   22260,    -157,   -4590,     420,     376,    2037,    -975,     -27,    -490,   -1495,     808,       0,      20,       0,   -1886,    -873,    1729,     716,  100.0,   70.0,    4.0,    0.4,   11.3,   48.2,    0.0,    4.6,   20.2,    0.9,    0.4,    3.4,    0.0,   87.7,   77.1,   12.3,   22.9,     64,     13,.,.,.,     20,.,      7,     16,      6,.,.,      0,     30,     45,    52.6,    25.8,    70.4,    38.3,    52.6,    25.7,    70.4,    38.2,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,092741,CME ,00,092 ,   97178,   72525,    3415,      43,    8894,   47718,      40,    4978,   21079,      63,     400,    3276,       0,   86943,   75634,   10235,   21544,    -700,    -303,     550,      17,      22,    -206,      28,   -1852,      89,     -40,       0,    -729,       0,   -2128,    -291,    1428,    -409,  100.0,   74.6,    3.5,    0.0,    9.2,   49.1,    0.0,    5.1,   21.7,    0.1,    0.4,    3.4,    0.0,   89.5,   77.8,   10.5,   22.2,     65,     13,.,.,.,     21,.,      9,     15,.,.,.,      0,     28,     43,    54.1,    25.9,    71.7,    38.2,    54.1,    25.8,    71.7,    38.1,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,092741,CME ,00,092 ,   97878,   72828,    2865,      26,    8872,   47924,      12,    6830,   20990,     103,     400,    4005,       0,   89071,   75925,    8807,   21953,    -281,    -169,     454,    -429,     155,    1788,    -159,    1322,     524,      51,       0,     408,       0,     771,    2637,   -1052,   -2918,  100.0,   74.4,    2.9,    0.0,    9.1,   49.0,    0.0,    7.0,   21.4,    0.1,    0.4,    4.1,    0.0,   91.0,   77.6,    9.0,   22.4,     67,     13,.,.,.,     20,.,     11,     15,.,.,.,      0,     29,     42,    52.8,    25.4,    71.2,    37.6,    52.8,    25.3,    71.1,    37.5,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,092741,CME ,00,092 ,   98159,   72997,    2411,     455,    8717,   46136,     171,    5508,   20466,      52,     400,    3597,       0,   88300,   73288,    9859,   24871,     228,    -208,    -430,     417,    -786,   -4130,    -138,    -347,     978,    -145,       0,     274,       0,   -1207,   -3174,    1435,    3402,  100.0,   74.4,    2.5,    0.5,    8.9,   47.0,    0.2,    5.6,   20.8,    0.1,    0.4,    3.7,    0.0,   90.0,   74.7,   10.0,   25.3,     68,     13,.,.,.,     21,.,      9,     17,.,.,.,      0,     28,     45,    54.0,    22.9,    72.1,    35.9,    54.0,    22.7,    72.0,    35.7,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,092741,CME ,00,092 ,   97931,   73205,    2841,      38,    9503,   50266,     309,    5855,   19488,     197,     400,    3323,       0,   89507,   76462,    8424,   21469,     667,    -681,     147,    -298,     551,     763,      22,    1054,    -482,      86,       0,     -99,       0,     734,     139,     -67,     528,  100.0,   74.8,    2.9,    0.0,    9.7,   51.3,    0.3,    6.0,   19.9,    0.2,    0.4,    3.4,    0.0,   91.4,   78.1,    8.6,   21.9,     67,     13,.,.,.,     20,.,     11,     15,      4,.,.,      0,     32,     44,    55.6,    25.9,    74.4,    39.1,    55.6,    25.5,    74.4,    38.7,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,092741,CME ,00,092 ,   97264,   73886,    2694,     336,    8952,   49503,     287,    4801,   19970,     111,     400,    3422,       0,   88773,   76323,    8491,   20941,     908,    3384,     498,    -120,    -963,    1997,     -85,   -1557,    1683,      13,       0,     157,       0,     672,    4143,     236,   -3235,  100.0,   76.0,    2.8,    0.3,    9.2,   50.9,    0.3,    4.9,   20.5,    0.1,    0.4,    3.5,    0.0,   91.3,   78.5,    8.7,   21.5,     68,     13,.,.,.,     20,.,      8,     18,.,.,.,      0,     27,     48,    55.5,    26.8,    75.2,    39.4,    55.5,    26.5,    75.2,    39.2,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,092741,CME ,00,092 ,   96356,   70502,    2196,     456,    9915,   47506,     372,    6358,   18287,      98,     400,    3265,       0,   88101,   72180,    8255,   24176,    2311,     209,     113,      85,    2774,    -392,     -66,   -1629,    1969,      -1,       0,    1385,       0,    1372,    3093,     939,    -782,  100.0,   73.2,    2.3,    0.5,   10.3,   49.3,    0.4,    6.6,   19.0,    0.1,    0.4,    3.4,    0.0,   91.4,   74.9,    8.6,   25.1,     62,     12,.,.,.,     17,.,     10,     15,.,.,.,      0,     26,     42,    57.3,    28.8,    75.8,    41.3,    57.3,    28.4,    75.8,    40.9,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,092741,CME ,00,092 ,   94045,   70293,    2083,     371,    7141,   47898,     438,    7987,   16318,      99,     400,    1880,       0,   86729,   69087,    7316,   24958,    2801,    4730,     -29,    -126,   -2301,    2394,       0,     524,    -953,       9,       0,     455,       0,    2836,    1750,     -35,    1051,  100.0,   74.7,    2.2,    0.4,    7.6,   50.9,    0.5,    8.5,   17.4,    0.1,    0.4,    2.0,    0.0,   92.2,   73.5,    7.8,   26.5,     62,     11,.,.,.,     17,.,     12,     15,.,.,.,      0,     27,     41,    58.6,    30.2,    75.4,    42.8,    58.6,    29.8,    75.4,    42.3,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,092741,CME ,00,092 ,   91244,   65563,    2112,     497,    9442,   45504,     438,    7463,   17271,      90,     400,    1425,       0,   83893,   67337,    7351,   23907,    2115,    6413,      88,    -135,     451,     536,       0,   -2432,    1609,   -1022,       0,     925,       0,    3275,    2001,   -1160,     114,  100.0,   71.9,    2.3,    0.5,   10.3,   49.9,    0.5,    8.2,   18.9,    0.1,    0.4,    1.6,    0.0,   91.9,   73.8,    8.1,   26.2,     62,     11,.,.,.,     17,.,     10,     16,.,.,.,      0,     26,     42,    57.9,    30.4,    74.7,    43.9,    57.9,    29.9,    74.7,    43.4,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250610,2025-06-10,096742,CME ,00,096 ,  213940,   15792,   68088,   11057,   71989,   67679,    6695,   65686,   24156,    5551,     971,    3443,       0,  177741,  186669,   36199,   27271,  -19661,    7246,    6050,   -8073,    2897,     -34,     512,   -7412,   -9543,  -12636,   -1431,       5,       0,  -18897,  -23719,    -764,    4058,  100.0,    7.4,   31.8,    5.2,   33.6,   31.6,    3.1,   30.7,   11.3,    2.6,    0.5,    1.6,    0.0,   83.1,   87.3,   16.9,   12.7,    116,      5,      9,      5,     20,     24,      7,     32,     20,     13,.,      4,      0,     73,     68,    29.8,    41.0,    45.9,    50.5,    29.6,    38.6,    45.7,    47.4,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250603,2025-06-03,096742,CME ,00,096 ,  233601,    8546,   62038,   19130,   69092,   67713,    6183,   73098,   33699,   18187,    2402,    3438,       0,  196638,  210388,   36963,   23213,   30611,    -864,    6607,   17435,   -1052,   -3871,     395,    1363,     698,   11792,    1302,    -423,       0,   30371,   32633,     240,   -2022,  100.0,    3.7,   26.6,    8.2,   29.6,   29.0,    2.6,   31.3,   14.4,    7.8,    1.0,    1.5,    0.0,   84.2,   90.1,   15.8,    9.9,    113,      6,      9,      8,     17,     24,      6,     31,     20,     13,.,      4,      0,     72,     68,    25.9,    38.0,    41.4,    50.3,    24.8,    35.1,    39.7,    42.7,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250527,2025-05-27,096742,CME ,00,096 ,  202990,    9410,   55431,    1695,   70144,   71584,    5788,   71735,   33001,    6395,    1100,    3861,       0,  166267,  177755,   36723,   25235,    7664,   -1335,   12284,     910,    8085,    3325,     -62,    6936,     398,  -11525,    1100,     443,       0,    4109,    5773,    3555,    1891,  100.0,    4.6,   27.3,    0.8,   34.6,   35.3,    2.9,   35.3,   16.3,    3.2,    0.5,    1.9,    0.0,   81.9,   87.6,   18.1,   12.4,    114,      5,      7,.,     17,     28,      7,     31,     19,     13,.,      5,      0,     66,     70,    29.0,    37.6,    47.6,    46.7,    27.8,    37.6,    45.6,    46.3,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250520,2025-05-20,096742,CME ,00,096 ,  195326,   10745,   43147,     785,   62059,   68259,    5850,   64799,   32603,   17920,       0,    3418,       0,  162158,  171982,   33168,   23344,     465,   -1463,    2249,     624,    1843,    2297,    1109,    -508,    -318,    -923,    -620,       5,       0,      62,    5043,     403,   -4578,  100.0,    5.5,   22.1,    0.4,   31.8,   34.9,    3.0,   33.2,   16.7,    9.2,    0.0,    1.7,    0.0,   83.0,   88.0,   17.0,   12.0,    110,      5,      6,.,     16,     27,      7,     27,     24,     13,      0,      4,      0,     62,     69,    27.4,    33.4,    45.9,    44.6,    26.2,    33.4,    43.9,    42.5,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250513,2025-05-13,096742,CME ,00,096 ,  194861,   12208,   40898,     161,   60216,   65962,    4741,   65307,   32921,   18843,     620,    3413,       0,  162096,  166939,   32765,   27922,   -5353,   -1642,   -4031,     -14,   -4500,    -672,     935,    -922,   -2777,    -501,     219,     -23,       0,   -6425,   -7083,    1072,    1730,  100.0,    6.3,   21.0,    0.1,   30.9,   33.9,    2.4,   33.5,   16.9,    9.7,    0.3,    1.8,    0.0,   83.2,   85.7,   16.8,   14.3,    108,      5,      7,.,     19,     26,      7,     26,     19,     12,.,      4,      0,     62,     66,    25.9,    31.4,    44.4,    43.6,    24.0,    31.4,    42.4,    40.3,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250506,2025-05-06,096742,CME ,00,096 ,  200214,   13850,   44929,     175,   64716,   66634,    3806,   66229,   35698,   19344,     401,    3436,       0,  168521,  174022,   31693,   26192,    7902,    3061,    4820,      13,    -790,     182,     429,    3458,     475,    1512,       0,     -11,       0,    7683,    7420,     219,     482,  100.0,    6.9,   22.4,    0.1,   32.3,   33.3,    1.9,   33.1,   17.8,    9.7,    0.2,    1.7,    0.0,   84.2,   86.9,   15.8,   13.1,    121,      8,      8,.,     18,     28,      5,     33,     20,     12,.,      4,      0,     71,     69,    23.9,    31.4,    41.3,    43.3,    22.2,    31.4,    39.3,    40.9,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250429,2025-04-29,096742,CME ,00,096 ,  192312,   10789,   40109,     162,   65506,   66452,    3377,   62771,   35223,   17832,     401,    3447,       0,  160838,  166602,   31474,   25710,   12757,     205,    5763,      82,    2325,   -1841,      80,   -4717,   -2498,   12630,       0,   -2796,       0,   10605,   11420,    2152,    1337,  100.0,    5.6,   20.9,    0.1,   34.1,   34.6,    1.8,   32.6,   18.3,    9.3,    0.2,    1.8,    0.0,   83.6,   86.6,   16.4,   13.4,    112,      7,      7,.,     17,     28,      7,     29,     18,     12,.,      4,      0,     65,     68,    24.8,    32.7,    43.6,    43.9,    23.0,    32.7,    41.5,    42.2,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250422,2025-04-22,096742,CME ,00,096 ,  179555,   10584,   34346,      80,   63181,   68293,    3297,   67488,   37721,    5202,     401,    6243,       0,  150233,  155182,   29322,   24373,    2549,   -6074,   10380,    -192,    8929,   -3559,     674,   -2955,    1336,    1133,     401,   -5887,       0,    1916,    3885,     633,   -1336,  100.0,    5.9,   19.1,    0.0,   35.2,   38.0,    1.8,   37.6,   21.0,    2.9,    0.2,    3.5,    0.0,   83.7,   86.4,   16.3,   13.6,    113,      6,      7,.,     17,     28,      9,     30,     19,     13,.,      5,      0,     67,     70,    26.3,    32.3,    46.9,    42.3,    24.6,    32.3,    44.8,    42.3,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250415,2025-04-15,096742,CME ,00,096 ,  177006,   16658,   23966,     272,   54252,   71852,    2623,   70443,   36385,    4069,       0,   12130,       0,  148317,  151297,   28689,   25709,      96,   -4780,   -2746,       0,    4691,    3458,    -750,   -2112,    8238,   -1511,       0,   -6656,       0,   -4462,      33,    4558,      63,  100.0,    9.4,   13.5,    0.2,   30.6,   40.6,    1.5,   39.8,   20.6,    2.3,    0.0,    6.9,    0.0,   83.8,   85.5,   16.2,   14.5,    108,      8,      5,.,     16,     28,     10,     29,     17,      7,      0,      5,      0,     63,     64,    26.5,    34.0,    45.9,    44.5,    24.4,    34.0,    43.6,    44.4,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",250408,2025-04-08,096742,CME ,00,096 ,  176910,   21438,   26712,     272,   49561,   68394,    3373,   72555,   28147,    5580,       0,   18786,       0,  152779,  151264,   24131,   25646,  -10250,    9312,   -8838,      70,   -9932,   -6014,     481,   -3929,     -87,     490,    -582,    4129,     -43,   -4133,   -9812,   -6117,    -438,  100.0,   12.1,   15.1,    0.2,   28.0,   38.7,    1.9,   41.0,   15.9,    3.2,    0.0,   10.6,    0.0,   86.4,   85.5,   13.6,   14.5,    109,     11,      5,.,     12,     29,     11,     27,     20,     11,      0,      5,      0,     62,     71,    30.0,    34.7,    49.8,    46.7,    27.9,    34.7,    47.5,    46.5,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
